厂商,icon,模型型号,场景,文档路径,Curl
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-2.3-fast,text-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-2.3-fast/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Text To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-2.3-fast/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""duration\"": 6,\n  \""enable_prompt_expansion\"": true,\n  \""prompt\"": \""a act\""\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-2.3-fast,image-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-2.3-fast/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Image To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-2.3-fast/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""duration\"": \""6\"",\n  \""enable_prompt_expansion\"": false\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-2.3-pro,text-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-2.3-pro/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Text To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-2.3-pro/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""duration\"": 6,\n  \""enable_prompt_expansion\"": true,\n  \""prompt\"": \""a act\""\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-2.3-pro,image-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-2.3-pro/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Image To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-2.3-pro/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""duration\"": \""6\"",\n  \""enable_prompt_expansion\"": false\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-2.3-standard,text-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-2.3-standard/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Text To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-2.3-standard/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""duration\"": 6,\n  \""enable_prompt_expansion\"": true,\n  \""prompt\"": \""a act\""\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-2.3-standard,image-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-2.3-standard/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Image To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-2.3-standard/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""duration\"": \""6\"",\n  \""enable_prompt_expansion\"": false\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-02-standard,text-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-02-standard/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Text To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-02-standard/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""duration\"": 6,\n  \""enable_prompt_expansion\"": true,\n  \""prompt\"": \""a act\""\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-02-standard,image-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-02-standard/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Image To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-02-standard/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""duration\"": \""6\"",\n  \""enable_prompt_expansion\"": false\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-02-pro,text-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-02-pro/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Text To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-02-pro/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""duration\"": 6,\n  \""enable_prompt_expansion\"": true,\n  \""prompt\"": \""a act\""\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-02-pro,image-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-02-pro/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Image To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-02-pro/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""duration\"": \""6\"",\n  \""enable_prompt_expansion\"": false\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
